interaction_name,overall_score,target_object_score,human_action_score,contact_score,physical_plausibility_score,visibility_score,metric_consistency_score,num_renders,best_view_ids,failure_modes
interaction_01,5,5,4,5,5,5,5,4,"view_00,view_01",
interaction_02,4,5,4,5,5,5,5,4,"view_01,view_02",The trash bin isn't fully lifted off the ground (it's still on the floor)
interaction_03,5,5,5,5,4,5,5,4,"view_02,view_03",
interaction_04,5,5,5,5,5,5,5,4,"view_01,view_03",
interaction_05,5,5,4,5,5,5,5,4,"view_00,view_02",
interaction_06,5,5,5,5,5,5,5,4,"view_00,view_01,view_02,view_03",
interaction_07,3,5,3,4,4,5,4,4,view_02,Legs are not crossed as specified in the instruction
interaction_08,5,5,5,5,5,5,5,3,"view_00,view_02,view_03",
interaction_09,2,5,2,3,2,5,4,4,"view_00,view_02","The person is standing on the floor while reaching up to the door, not hanging from it"
interaction_10,5,5,5,5,5,5,5,3,"view_00,view_01,view_03",
interaction_11,5,5,5,5,5,5,5,4,"view_00,view_03",
interaction_12,5,5,5,5,5,5,5,4,"view_00,view_02,view_03",
interaction_13,4,5,4,5,4,5,4,4,"view_00,view_03",Low clip score (0.259) suggests the image may not strongly match the text description 'a person making coffee'
interaction_14,2,2,2,4,4,4,3,2,"view_00,view_01","Lack of shower elements (no showerhead, no water); No showering action (person standing still, not in showering posture)"
interaction_15,5,5,5,5,5,5,5,4,"view_00,view_03",
interaction_16,5,5,5,5,5,5,5,2,"view_00,view_01",
